Date,Close,Date,Close,Date,Close
3/21/2017 16:00:00,17.13,7/6/2016 16:00:00,24.67,7/11/2016 16:00:00,19.96
3/22/2017 16:00:00,17.13,7/7/2016 16:00:00,24.65,7/12/2016 16:00:00,20.24
3/23/2017 16:00:00,17.23,7/8/2016 16:00:00,25,7/13/2016 16:00:00,20.28
3/24/2017 16:00:00,17.3,7/11/2016 16:00:00,25.39,7/14/2016 16:00:00,20.3
3/27/2017 16:00:00,17.32,7/12/2016 16:00:00,25.76,7/15/2016 16:00:00,20.18
3/28/2017 16:00:00,17.43,7/13/2016 16:00:00,25.79,7/18/2016 16:00:00,20.38
3/29/2017 16:00:00,17.43,7/14/2016 16:00:00,25.79,7/19/2016 16:00:00,20.24
3/30/2017 16:00:00,17.38,7/15/2016 16:00:00,25.73,7/20/2016 16:00:00,20.5
3/31/2017 16:00:00,17.36,7/18/2016 16:00:00,25.85,7/21/2016 16:00:00,20.4
4/3/2017 16:00:00,17.32,7/19/2016 16:00:00,25.69,7/22/2016 16:00:00,20.42
4/4/2017 16:00:00,17.23,7/20/2016 16:00:00,26.06,7/25/2016 16:00:00,20.47
4/5/2017 16:00:00,17.23,7/21/2016 16:00:00,25.9,7/26/2016 16:00:00,20.58
4/6/2017 16:00:00,17.11,7/22/2016 16:00:00,25.95,7/27/2016 16:00:00,20.85
4/7/2017 16:00:00,17.2,7/25/2016 16:00:00,25.88,7/28/2016 16:00:00,20.61
4/10/2017 16:00:00,17.12,7/26/2016 16:00:00,25.91,7/29/2016 16:00:00,20.73
4/11/2017 16:00:00,17.08,7/27/2016 16:00:00,26.19,8/1/2016 16:00:00,20.78
4/12/2017 16:00:00,17,7/28/2016 16:00:00,26.24,8/2/2016 16:00:00,20.58
4/13/2017 16:00:00,16.92,7/29/2016 16:00:00,26.41,8/3/2016 16:00:00,20.64
4/17/2017 16:00:00,17.03,8/1/2016 16:00:00,26.31,8/4/2016 16:00:00,20.66
4/18/2017 16:00:00,16.95,8/2/2016 16:00:00,26.22,8/5/2016 16:00:00,20.97
4/19/2017 16:00:00,17.2,8/3/2016 16:00:00,26.26,8/8/2016 16:00:00,21.1
4/20/2017 16:00:00,17.27,8/4/2016 16:00:00,26.46,8/9/2016 16:00:00,21.15
4/21/2017 16:00:00,17.23,8/5/2016 16:00:00,26.63,8/10/2016 16:00:00,21.07
4/24/2017 16:00:00,17.56,8/8/2016 16:00:00,26.65,8/11/2016 16:00:00,21.31
4/25/2017 16:00:00,17.54,8/9/2016 16:00:00,26.93,8/12/2016 16:00:00,21.37
4/26/2017 16:00:00,17.7,8/10/2016 16:00:00,26.77,8/15/2016 16:00:00,21.59
4/27/2017 16:00:00,17.77,8/11/2016 16:00:00,27,8/16/2016 16:00:00,21.43
4/28/2017 16:00:00,17.96,8/12/2016 16:00:00,27.01,8/17/2016 16:00:00,21.33
5/1/2017 16:00:00,17.99,8/15/2016 16:00:00,27.26,8/18/2016 16:00:00,21.41
5/2/2017 16:00:00,17.96,8/16/2016 16:00:00,27.11,8/19/2016 16:00:00,21.48
5/3/2017 16:00:00,17.95,8/17/2016 16:00:00,26.99,8/22/2016 16:00:00,21.51
5/4/2017 16:00:00,17.99,8/18/2016 16:00:00,27.12,8/23/2016 16:00:00,21.67
5/5/2017 16:00:00,18.14,8/19/2016 16:00:00,27.26,8/24/2016 16:00:00,21.61
5/8/2017 16:00:00,18.17,8/22/2016 16:00:00,27.19,8/25/2016 16:00:00,21.71
5/9/2017 16:00:00,18.11,8/23/2016 16:00:00,27.25,8/26/2016 16:00:00,21.61
5/10/2017 16:00:00,18.1,8/24/2016 16:00:00,27.11,8/29/2016 16:00:00,21.72
5/11/2017 16:00:00,18.02,8/25/2016 16:00:00,27.13,8/30/2016 16:00:00,21.62
5/12/2017 16:00:00,18.09,8/26/2016 16:00:00,27.1,8/31/2016 16:00:00,21.14
5/15/2017 16:00:00,18.18,8/29/2016 16:00:00,27.24,9/1/2016 16:00:00,21
5/16/2017 16:00:00,18.25,8/30/2016 16:00:00,27.25,9/2/2016 16:00:00,21.18
5/17/2017 16:00:00,18.01,8/31/2016 16:00:00,26.9,9/6/2016 16:00:00,21.49
5/18/2017 16:00:00,17.97,9/1/2016 16:00:00,27.05,9/7/2016 16:00:00,21.38
5/19/2017 16:00:00,18.23,9/2/2016 16:00:00,27.16,9/8/2016 16:00:00,21.44
5/22/2017 16:00:00,18.42,9/6/2016 16:00:00,27.63,9/9/2016 16:00:00,20.82
5/23/2017 16:00:00,18.43,9/7/2016 16:00:00,27.74,9/12/2016 16:00:00,20.66
5/24/2017 16:00:00,18.38,9/8/2016 16:00:00,27.84,9/13/2016 16:00:00,20.7
5/25/2017 16:00:00,18.52,9/9/2016 16:00:00,27.23,9/14/2016 16:00:00,20.75
5/26/2017 16:00:00,18.5,9/12/2016 16:00:00,27.35,9/15/2016 16:00:00,21.11
